registration_number,n_cycles,n_unique_soh,rul_reliability,first_date,last_date,current_soh,soh_slope_%per_day,soh_r2,rul_days,rul_lo_days,rul_hi_days,eol_threshold,efc_total,avg_efc_per_day,soh_per_efc_slope,rul_efc,rul_days_efc,rul_efc_ci_lo,rul_efc_ci_hi,dual_soh0,dual_alpha,dual_beta,dual_rul_days,dual_rul_efc_days,dual_rul_cal_days,dual_dominant_path,bayes_soh_pred,bayes_soh_std,bayes_rul_days,epk_slope_per_day,epk_r2,heat_slope_per_day,heat_r2,spread_slope_per_day,spread_r2,vsag_slope_per_day,vsag_r2,total_n_vsag,ir_slope_per_day,ir_r2,total_high_ir,cycle_soh_current,cycle_soh_slope_per_day,cycle_soh_r2,soh_slope_norm,ekf_soh_norm,soh_health_norm,energy_slope_norm,heat_slope_norm,spread_slope_norm,vsag_slope_norm,ir_slope_norm,cycle_soh_slope_norm,composite_degradation_score,pct_rapid_heating,pct_high_energy_per_km,pct_slow_charging,pct_fast_charging,n_if_anomalies,n_cusum_soh,n_cusum_epk,n_cusum_heat,n_cusum_spread,n_cusum_cycle_soh,n_combined_anom,if_score_mean,neural_rec_err_mean,neural_rec_err_p95,n_neural_anomalies,neural_anomaly_pct
MH18BZ2968,461,128,reliable,2026-01-24,2026-03-10,97.52,-0.02349,0.7,746.0,667.0,858.0,80.0,124.25,2.7599,-0.008456,2071.0,750.0,1867.0,2305.0,99.767,-150.71364,1501.32919,107.0,,107.0,calendar,97.675,0.116,,-0.00165,0.002,0.0097,0.003,7e-06,0.001,-0.00126,0.002,45,0.01435,0.001,3481,99.921,0.01035,0.01,0.16218974965080057,0.2903765690376565,0.2903765690376565,0.19954168870086372,0.7097230143576263,0.3125,0.3281541330018645,0.8837839116346176,0.3060328079333705,0.4234,0.15,0.135,0.007,0.932,13,2,3,0,0,9,31,-0.0617,0.1981,0.4424,24,50.2847
MH18BZ3110,350,72,reliable,2026-01-24,2026-02-26,97.57,-0.03313,0.86,530.0,477.0,583.0,80.0,91.81,2.7441,-0.011671,1506.0,549.0,1389.0,1650.0,100.293,285.50947,-1305.27178,77.0,77.0,,cycle,97.639,0.073,,0.00169,0.001,0.01513,0.004,2.6e-05,0.014,-0.00179,0.004,23,-0.06907,0.008,2594,100.0,0.03347,0.025,0.2139787256903406,0.27419804741980636,0.27419804741980636,0.22897937599153886,0.7231879386019291,0.4609374999999999,0.3215661901802362,0.7851297334374039,0.28650347169428814,0.4232,0.143,0.252,0.341,0.037,7,16,1,1,1,10,36,-0.0713,0.21,0.4847,21,50.3786
MH18BZ3039,380,87,reliable,2026-01-24,2026-02-28,97.66,-0.02945,0.849,600.0,544.0,655.0,80.0,101.23,2.8769,-0.010492,1683.0,585.0,1535.0,1862.0,100.108,100.2666,-426.39211,208.0,208.0,,cycle,97.588,0.141,567.0,0.00143,0.001,0.03043,0.014,-9e-06,0.002,0.00503,0.018,48,0.00068,0.0,2932,100.0,-0.0403,0.004,0.19420866014827554,0.24937238493723646,0.24937238493723646,0.22668781949585756,0.7611277803952686,0.18749999999999997,0.40633934120571785,0.8676174933181957,0.34881658304191365,0.4221,0.202,0.367,0.25,0.207,6,16,4,0,0,8,49,-0.0664,0.2216,0.4991,19,50.4129
MH18BZ3038,545,122,reliable,2026-01-22,2026-03-10,97.49,-0.0222,0.881,788.0,730.0,846.0,80.0,134.05,2.8397,-0.007857,2226.0,784.0,2107.0,2379.0,99.929,-11.42653,161.96859,939.0,,939.0,calendar,97.506,0.075,,-0.00276,0.004,0.00866,0.003,4e-06,0.0,0.00041,0.0,30,0.00338,0.0,4161,100.0,0.0308,0.202,0.15525948211023965,0.2976290097628995,0.2976290097628995,0.1897585052000705,0.707144097006968,0.2890625,0.3489123679303916,0.8708105678942264,0.28875880593989145,0.4205,0.123,0.192,0.277,0.108,12,1,2,2,1,14,45,-0.0683,0.1867,0.4155,28,50.8434
MH18BZ3387,528,147,reliable,2026-01-25,2026-03-10,97.32,-0.0236,0.631,734.0,661.0,830.0,80.0,168.65,3.8187,-0.00615,2816.0,737.0,2528.0,3202.0,99.676,-315.99755,3279.26673,49.0,,49.0,calendar,97.453,0.202,,0.00217,0.002,0.01754,0.009,-7e-06,0.001,-0.0012,0.001,67,-0.03664,0.004,3911,99.769,0.03967,0.021,0.16278070269689493,0.3456066945606713,0.3456066945606713,0.23320994182971969,0.7291640836164356,0.20312499999999997,0.32889993784959604,0.8234821069561721,0.28126636595543386,0.4203,0.12,0.317,0.251,0.114,41,16,1,1,0,9,72,-0.0497,0.192,0.4073,27,50.8518
MH18BZ3389,535,125,reliable,2026-01-22,2026-03-10,97.68,-0.0264,0.69,670.0,607.0,746.0,80.0,178.05,3.761,-0.00723,2445.0,650.0,2199.0,2675.0,99.296,-216.80594,2374.7709,58.0,,58.0,calendar,97.792,0.123,,0.00854,0.025,0.04679,0.047,-7e-06,0.002,0.00296,0.006,105,-0.08801,0.023,3869,98.55,-0.06288,0.055,0.17782314387020537,0.24490934449093493,0.24490934449093493,0.28935307597391147,0.8016961341037021,0.20312499999999997,0.3806090739589808,0.7627309065966554,0.3678897842650314,0.4177,0.166,0.277,0.311,0.085,44,1,3,3,0,11,69,-0.0455,0.2062,0.4298,31,51.4979
MH18BZ2872,328,80,reliable,2026-01-22,2026-03-10,97.56,-0.0265,0.67,663.0,526.0,794.0,80.0,84.49,1.7878,-0.013941,1260.0,705.0,1114.0,1395.0,100.402,8.38098,1106.18988,147.0,4004.0,147.0,calendar,97.61,0.129,,0.00105,0.0,0.003,0.0,-4e-06,0.0,-0.00112,0.002,29,0.05343,0.007,2335,100.0,0.0296,0.119,0.17836037391210924,0.27754532775453056,0.27754532775453056,0.22333862154063103,0.6931088352716541,0.2265625,0.32989434431323805,0.9300007095721279,0.289772439308702,0.4175,0.146,0.153,0.217,0.145,11,3,2,0,1,5,26,-0.0654,0.2693,0.7403,16,50.889
MH18BZ3108,453,118,reliable,2026-01-22,2026-03-10,97.55,-0.02303,0.874,762.0,705.0,823.0,80.0,114.87,2.4416,-0.009346,1878.0,769.0,1722.0,2053.0,99.723,99.19603,-677.64038,248.0,248.0,,cycle,97.59,0.112,1803.0,0.00118,0.001,0.01076,0.004,-1e-06,0.0,0.00031,0.0,34,-0.02369,0.002,3374,100.0,-0.01243,0.055,0.1597184914580424,0.28145048814504936,0.28145048814504936,0.2244843997884717,0.7123515262727204,0.25,0.3476693598508391,0.8387970387189857,0.32527494805128987,0.4159,0.163,0.281,0.0,0.433,6,6,2,3,0,10,37,-0.0691,0.2058,0.4298,23,48.8908
MH18BZ3343,525,96,reliable,2026-01-24,2026-03-10,97.72,-0.01681,0.592,1054.0,900.0,1270.0,80.0,140.91,3.1115,-0.005213,3399.0,1092.0,2892.0,4165.0,100.729,2379.89291,-19073.96919,8.0,8.0,,cycle,97.769,0.173,,0.00113,0.001,0.02396,0.016,1e-05,0.003,0.00108,0.006,17,-0.04022,0.005,4095,100.0,0.00908,0.001,0.1263027828516171,0.23375174337517302,0.23375174337517302,0.2240437158469945,0.7450839388003073,0.33593749999999994,0.35724052206339346,0.819248326592398,0.30710556991536164,0.4137,0.127,0.23,0.242,0.076,9,0,2,3,1,8,28,-0.0667,0.1939,0.4364,32,50.8249
MH18BZ3162,374,82,reliable,2026-01-25,2026-03-10,97.7,-0.02271,0.769,779.0,696.0,887.0,80.0,111.62,2.5361,-0.009072,1951.0,769.0,1729.0,2275.0,99.284,1036.36027,-7765.5974,22.0,22.0,,cycle,97.704,0.134,,0.00169,0.001,0.00872,0.003,7e-06,0.002,0.00276,0.009,50,-0.0194,0.002,2584,99.381,0.0359,0.074,0.15799935532394982,0.2398884239888427,0.2398884239888427,0.22897937599153886,0.7072928807002752,0.3125,0.3781230577998757,0.8438704794342344,0.2844508641224468,0.4137,0.194,0.258,0.245,0.213,7,15,4,0,2,8,40,-0.0693,0.1813,0.3679,20,51.463
MH18BZ3374,518,120,reliable,2026-01-24,2026-03-10,97.73,-0.03623,0.882,489.0,470.0,512.0,80.0,140.1,3.0948,-0.011556,1534.0,496.0,1466.0,1595.0,100.209,-278.63683,3070.11153,52.0,,52.0,calendar,97.743,0.133,1261.0,-0.01896,0.11,0.00075,0.0,8e-06,0.002,0.00473,0.025,67,0.06732,0.021,3313,99.925,-0.03965,0.036,0.23063285698936287,0.23152022315202225,0.23152022315202225,0.046976908161466574,0.6875294467726336,0.32031249999999994,0.40261031696706034,0.9464273043354857,0.34826753163380797,0.412,0.155,0.258,0.493,0.071,17,0,8,2,3,9,52,-0.0581,0.2021,0.4521,24,51.0972
MH18BZ3032,437,99,reliable,2026-01-25,2026-03-10,97.64,-0.01729,0.629,1020.0,885.0,1195.0,80.0,117.97,2.7038,-0.006475,2724.0,1007.0,2306.0,3279.0,99.808,229.58886,-1691.13547,97.0,97.0,,cycle,97.809,0.153,,-0.00312,0.004,-0.009,0.002,1.1e-05,0.004,0.00031,0.0,25,0.00391,0.0,3847,100.0,0.06969,0.314,0.12888148705275604,0.25634588563458816,0.25634588563458816,0.18658558082143484,0.6633520966102114,0.34374999999999994,0.3476693598508391,0.871437356607299,0.2559086378456912,0.4076,0.135,0.169,0.168,0.142,9,19,2,2,0,14,47,-0.0658,0.1753,0.4005,24,50.5314
MH18BZ3391,424,143,reliable,2026-01-25,2026-03-10,98.0,-0.0308,0.829,585.0,546.0,636.0,80.0,140.35,3.1832,-0.00991,1817.0,571.0,1698.0,1965.0,99.846,105.02226,-928.78862,179.0,179.0,,cycle,98.105,0.061,,-0.00154,0.001,0.02608,0.011,1.4e-05,0.008,0.00219,0.004,64,0.00969,0.0,2481,100.0,0.00078,0.0,0.2014612657139787,0.15453277545327837,0.15453277545327837,0.2005111933721135,0.7503409626304955,0.36718749999999994,0.3710379117464264,0.8782729014404314,0.31411653404963424,0.4064,0.182,0.347,0.147,0.641,35,0,2,1,0,8,51,-0.0517,0.231,0.5362,22,50.6317
MH18BZ2960,129,34,reliable,2026-01-22,2026-03-10,97.73,-0.02028,0.816,874.0,725.0,1061.0,80.0,34.8,0.7342,-0.032929,538.0,733.0,446.0,692.0,99.654,-86.75676,-14.09776,,,,calendar,97.714,0.146,,0.00152,0.002,0.02911,0.028,1.6e-05,0.025,0.00102,0.004,9,-0.04224,0.01,925,99.914,0.16339,0.509,0.14494466530568395,0.23068340306834023,0.23068340306834023,0.22748105059051646,0.75785453914251,0.38281249999999994,0.35649471721566195,0.8168594337614419,0.17676076563107113,0.4064,0.182,0.239,0.206,0.559,2,0,0,0,0,2,6,-0.064,0.1977,0.4114,10,52.3068
MH18BZ3036,403,95,reliable,2026-01-22,2026-02-26,97.41,-0.03669,0.867,474.0,432.0,512.0,80.0,96.94,2.7393,-0.013473,1292.0,472.0,1191.0,1405.0,100.684,975.38889,-7977.89526,22.0,22.0,,cycle,97.385,0.149,828.0,-0.00143,0.001,0.00221,0.0,3e-06,0.0,0.00027,0.0,12,-0.01808,0.0,3468,100.0,0.20544,0.06,0.23310411518212104,0.31966527196652794,0.31966527196652794,0.20148069804336327,0.6911498499764425,0.28124999999999994,0.34717215661901807,0.8454315381158495,0.14124136299900314,0.4061,0.145,0.252,0.019,0.824,8,16,3,2,0,9,42,-0.065,0.2111,0.4817,20,49.7249
MH18BZ3161,464,98,reliable,2026-01-22,2026-03-10,97.61,-0.01593,0.682,1105.0,955.0,1280.0,80.0,113.68,2.4094,-0.007138,2467.0,1024.0,2127.0,2894.0,99.904,-40.72481,242.7236,660.0,,660.0,calendar,97.695,0.134,3041.0,-0.00051,0.0,0.01811,0.013,-3e-06,0.0,-0.00025,0.0,51,-0.05711,0.014,3571,99.91,-0.02001,0.036,0.12157515848286238,0.2644351464435132,0.2644351464435132,0.20958928256654324,0.7305775287028541,0.234375,0.34070851460534496,0.7992738711890063,0.3316777321642761,0.4037,0.136,0.258,0.187,0.346,6,17,2,1,0,13,47,-0.0704,0.1912,0.4085,21,51.0962
