registration_number,cum_efc,days_since_first_session,efc_x_days,ir_ohm_mean,cell_spread_mean,temp_rise_rate,ir_ohm_mean_ewm10,cell_spread_mean_ewm10,dod_stress,c_rate_chg,weak_subsystem_consistency,subsystem_voltage_std,is_loaded,thermal_stress
MH18BZ2647,0.05137020389527865,-0.13684239340376497,-0.00010190409450608157,0.0052339748761482145,0.001100344599239392,0.0068787721727707205,-0.029742259449965502,-0.0002555143252266778,-0.034199042591430535,-0.013117619331030226,0.024374070568378217,-0.008916441685123103,0.009765342412197842,
MH18BZ2648,0.03848764304926037,-0.059252926505748246,-0.0002700474700471012,-0.021379919483733648,-8.559592372244156e-05,0.0024478389496586025,-0.003381221947500008,3.259907528666036e-05,-0.0020545926044916287,-0.003951675943304215,0.009897204410239082,0.008920038759620393,0.013986793371428127,
MH18BZ2649,-0.0037111715392688293,-0.015607427963404467,5.910894788787243e-05,-0.0007981094462090088,-2.2440222417780366e-05,0.00020979803740912498,-0.00011420464281587866,-1.3785614986977663e-05,0.0001278524886012565,0.00031410725325336657,0.0007522359776870638,-0.00571075907601041,-0.0038303380665421806,
MH18BZ2689,0.11071909487148454,-0.16875181615920895,-0.0005924692168217463,-0.020268349050319285,0.0006623555351940709,0.005440487524980243,0.018284937517891325,-0.0011346540969117416,-0.0784497164476321,-0.006102301767829985,-0.011767913268766491,-0.0014272866716181166,0.014187898364842674,
MH18BZ2690,0.008732254249471555,-0.04953207935433045,0.00012844264145141888,0.013397220032812929,-1.9469673205579267e-05,-0.006026630454537224,-0.0002895989427546959,4.13320847085356e-05,-0.004731285292149828,0.001866723430683694,-0.006087935209330503,-0.013774288496524074,-0.007188918031817674,
MH18BZ2869,-0.020714028471625942,-0.010217934455478864,0.0003432234232968773,-0.0005421666594921062,1.4233247122376335e-05,-0.0017756832156353092,-0.0009605907163723013,4.624884334118186e-06,0.0014120378952193128,0.00020382929251246088,-0.0006393278522057502,-0.0002957122120699812,0.003209943597981318,
MH18BZ2871,-0.034487562129802876,-0.02749464982484435,0.0006789974425093442,-0.005831479714870441,-6.0104826314270296e-05,0.003183399455982084,0.0060085595978563505,2.4208005196712123e-06,0.0014557849774817578,-0.0007967779828484552,-0.001426087275056822,0.002323377748914217,-0.0014978084491572747,
MH18BZ2872,-0.02232979234651633,-0.05942782535509436,0.0008283815996973927,-0.006806680337060228,-1.2119330062962983e-05,0.006656449808339479,0.026998975958387433,7.475163682548571e-05,-0.0038255994972214236,-0.0027607077491628345,0.008430701235313183,0.0033450185873373913,0.018550187754703712,
MH18BZ2873,-0.037366308660406265,-0.021001645325062067,0.0007487001631628059,-0.001476076592911551,-3.145267065000875e-05,-0.0016259153270933198,0.006803949221564101,-4.774318266081623e-05,0.0016166320101310759,0.00034381757614590123,0.011742622337166723,-0.0012150871757961206,-0.010899836075468466,
MH18BZ2874,-0.03871743444549904,-0.08674955453109942,0.0012984225630262294,-0.01858036518063039,1.8106100894392744e-05,0.00615788091714567,0.011547834904288942,6.261389144727389e-05,-0.004976572359683185,-0.0017367689333994832,-0.005145778889431146,-0.01719267887249634,-0.0031577073719658458,
